article_id,infraction_desc,amende_fixe,points_retrait,categorie_vehicule,type_infraction,mots_cles,cluster,categorie_cluster
92,92 املاده يجب علا كل سائق ان يكون في حاله بدنيه وعقليه تمكنه من سياقه مركبته او حيواناته وفي التحكم فيها باستمرار ؛ 1 ان يمتنع عن السياقه خاصه في الحاالت التاليه 2 تحت تاثير الكحول او املواد املخدره ؛ تاثير االدويه التي تحظر السياقه بعد تناولها والتي,,,leger,obligation,alcool,0,permis_conduite
93,93 املاده .يجب علا كل سائق استعمال اجهزه السالمه ولوازمها وفق الشروط املحدده من قبل االداره,,,,obligation,,0,permis_conduite
94,94 املاده يجب علا كل راجل عند استعماله الطريق العموميه اتخاذ االحتياطات الالزمه لتجنب كل خطر سواء علا نفسه او علا الغير ؛ التقيد بقواعد السير الخاصه املتعلقه به واملحدده بهذا القانون والنصوص املتخذه لتطبيقه ؛ .االمتناع عن كل عمل يمكن ان يلحق ضررا ببي,,,leger,obligation,documents,2,permissions_exceptions
95,95 املاده تصدر االداره قرارا بسحب رخصه السياقه، اذا لم يدفع الشخص الحاص,,,leger,sanction,documents,0,permis_conduite
96,96 املاده تصدر االداره قرارا بتوقيف رخصه السياقه ملده ال تتجاوز ثالثه ا,,,leger,definition,"vitesse, stationnement, depassement, documents",0,permis_conduite
97,97 املاده من شوال13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 غريت مبوجب املاده االوال من القانون رقم 5870 ، ص2016 اغسطس11 1437 ذي القعده7 بتاريخ6490 ، ج.ر عدد2016 يوليو18 1437 يمكن ان تصدر االداره قرارا بسحب رخصه السياقه من هذا القانون،,,,leger,definition,documents,5,references_legales
98,98 املاده 96 و95 يتوقف اثر توقيف او سحب رخصه السياقه املقرر من قبل االداره وفقا الحكام املواد ، اعاله، كيفما كانت مدته، بعد اي قرار بالحفظ تصدره النيابه العامه او اذا اصبح قابال للتنفيذ97و من اجل نفس االفعال، مقرر قضائي حائز لقوه الاشيء املقغضي به بت,,,leger,sanction,"stationnement, documents",0,permis_conduite
99,99 املاده من هذا القانون، تقوم، بقوه القانون، السلطه املحدثه لديه,,,leger,sanction,"vitesse, stationnement, alcool, autoroute, telephone, ceinture, depassement, documents",0,permis_conduite
100,100 املاده اعاله، وفي حاله تعدد الجنح املرتكبه في ان واحد من بينها جنحه واحده99 استثناء من احكام املاده اعاله، فان عدد النقط الواجب خصمها من رصيد النقط99 من املاده5 و3 و1 من الجنح املشار اليها في نقطه علا االكثر، وفي حاله تعدد الجنح االخرا املرتكبه ف,,,,definition,,0,permis_conduite
101,101 املاده اليمكن توقيف املركبات او ايداعها باملحجز اال في الحاالت ووفق الشروط املنصوص عليها في هذا .القانون الفرع االول توقيف املركبات,,,,definition,,3,regles_circulation
102,102 املاده توقيف املركبه هو االمر الذي يصدره العون محرر املحضر، احتياطيا، للسائق بتوقيف مركبته في .مكان معاينه املخالفه او علا مقربه منه، مع التقيد بالقواعد املتعلقه بالتوقف .تبقا املركبه، خالل مده توقيفها، تحت املسؤوليه القانونيه لسائقها او ملالكها,,,leger,definition,stationnement,0,permis_conduite
103,103 املاده او عند االقتضاء مالك املركبه، للقيام بسياقتها ؛ اعاله، اذا تعلق االمر بانعدام او عدم مطابقه103 من املاده10 في الحاالت املشار اليها في البند 3 جهاز قياس السرعه وزمن السياقه، يتم توقيف املركبه الا حين ادالء املخالف بما يثبت شراءه للجهاز وتسل,,,leger,obligation,"vitesse, documents",0,permis_conduite
103,103 املاده عالوه علا الحاالت املنصوص عليها في القانون، يجب االمر بتوقيف,,,leger,obligation,"vitesse, alcool, depassement, documents",0,permis_conduite
103,103 املاده يجب عند تجاوز عدد الركاب املاذون به في حاله النقل الجماعي لالشخاص، نقل االشخاص 1 اعاله، وال يمكن السماح للمركبه املوقوفه104 الزائدين وفق احكام الفقره االخيره من املاده بمواصله السير الا حين ضمان وسائل النقل الضروريه لنقل االشخاص الزائدين ؛,,,leger,obligation,"stationnement, depassement",2,permissions_exceptions
104,104 املاده اعاله، حسب الحاالت، علا النحو التالي102 يتم توقيف املرك,,,leger,definition,documents,0,permis_conduite
105,105 املاده وفي9 الا5 يمكن تنفيذ قرار التوقيف الناتج عن مخالفه تتعلق بالحاالت املشار اليها في البنود من اعاله، في مكان يستطيع فيه سائق املركبه الحصول علا وسائل103 من املاده14 و12 و11 البنود انهاء املخالفه. وال تجوز ممارسه هذه االمكانيه، اال اذا كان من,,,,definition,,2,permissions_exceptions
106,106 املاده من20 و19 و18 يتم توقيف املركبه علا النحو التالي، فيما يخص الحاالت املشار اليها في البنود اعاله,,,,definition,,0,permis_conduite
107,107 املاده اذا لم يتم انهاء املخالفه التي بررت التوقيف، وقت مغادره العون محرر املحضر ملكان ايقاف املركبه، يقوم هذا العون برفع االمر الا االداره التابع لها مع تسليمها شهاده التسجيل او رخصه .السياقه حسب نوعيه املخالفه يوجه املحضر الا االداره مرفقا بجذا,,,leger,obligation,documents,0,permis_conduite
108,108 املاده يرفع التوقيف، ما لم توجد احكام مخالفه في عين املكان، من قبل العون محرر املحضر، الذي امر به وذلك فور انهاء املخالفه ؛ 1 من قبل السلطه املؤهله التابع لها العون محرر املحضر واملرفوع اليها االمر وفق الشروط 2 ، اعاله، بمجرد ما يثبت السائق انتها,,,,definition,,0,permis_conduite
109,109 املاده ساعه، من ساعه توقيف72 اذا لم يثبت املخالف انتهاء املخالفه، د,,,,definition,,0,permis_conduite
110,110 املاده االيداع في املحجز هو تنقيل مركبه او جزء من مركبه متمفصله موضوع مخالفه، الا مكان يعينه العون محرر املحضر او السلطه املختصه او السلطه القضائيه وحراستها فيه، قصد االحتفاظ بها في .ذلك املكان طوال املده املقرره، علا نفقه مالكها . يتم توقيف املر,,,leger,obligation,,0,permis_conduite
111,111 املاده عالوه علا الحاالت املنصوص عليها في القانون، يصدر ضابط الشرطه,,,leger,obligation,"vitesse, stationnement, depassement, documents",0,permis_conduite
112,112 املاده من13 الصادر يف1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 اضيفت مبوجب املاده الثالثه من القانون رقم 5882 ، ص2016 اغسطس11 1437 ذي القعده7 بتاريخ6490 ،ج.ر عدد2016 يوليو18 1437 شوال عالوه علا الحاالت املنصوص عليها في القانون، يصدر ضابط ال,,,leger,sanction,"stationnement, autoroute",5,references_legales
112,112 املاده بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 نسخت وعوضت مبوجب املاده الثانيه من القانون رقم 5880 ، ص2016 اغسطس11 1437 ذي القعده7 بتاريخ6490 ، ج.ر عدد2016 يوليو18 1437 من شوال13 عالوه علا الحاالت املنصوص عليها في القانون، ومع مراعا,,,leger,definition,"vitesse, stationnement, depassement",5,references_legales
113,113 املاده يجب علا العون محرر املحضر، الذي اعد محضر معاينه املخالفه املبرره لاليداع في املحجز، ان يحيل االمر علا ضابط الشرطه القضائيه املختص من حيث املكان او علا السلطه التابع لها العون .املذكور، في الحاالت التي ينص فيها هذا القانون علا االيداع في ام,,,leger,obligation,documents,0,permis_conduite
114,114 املاده اذا اودع السائق او املالك او املسؤول املدني املركبه باملحجز، وجب عليه ان يسلم الا حارس املحجز االمر بااليداع، الذي يعده العون محرر املحضر او االداره، ويتسلم من الحارس املذكور .شهاده بااليداع في املحجز يجب علا العون محرر املحضر عند قيامه با,,,,obligation,,0,permis_conduite
115,115 املاده ال يمكن اصالح املركبه املودعه في املحجز بسبب سوء حالتها امليكانيكيه التي ال تسمح بالسير وفق .شروط السالمه العاديه، اال بعد انقضاء مده االيداع ال يمكن ان يسحب املركبه من املحجز اال املكلفون من قبل املالك او السائق او املسؤول املدني .بانجاز,,,,definition,,2,permissions_exceptions
116,116 املاده يجب ازاحه املركبه املودعه في املحجز، لعدم توفرها علا وثيقه املراقبه التقنيه او لعدم صالحيه هذه االخيره، ونقلها الا اقرب مركز للمراقبه التقنيه، بواسطه مركبه مرخص لها، الخضاعها الا .املراقبه التقنيه,,,leger,obligation,documents,0,permis_conduite
117,117 املاده .يتحمل مالك املركبه او املسؤول املدني عنها مصاريف االزاحه والحراسه في املحجز والخبره 50 االمانه العامه للحكومه الباب الرابع احكام متفرقه,,,,definition,,0,permis_conduite
118,118 املاده اعاله لغرامه60 و59 يتعرض كل مالك او حائز ملركبه ال يتقيد باا,500.0,,leger,sanction,documents,0,permis_conduite
119,119 املاده كل مالك مركبه اجنبيه، التتوفر علا رقم تسجيل مغربي، يقوم بعمليه النقل بين نقطتين داخل التراب املغربي، دون ترخيص خاص مسلم من قبل مصالح السلطه الحكوميه املكلفه بالنقل، يعاقب . درهم عن كل طن من الوزن االجمالي للمركبه محمله5000 بغرامه اداريه مب,5000.0,,leger,sanction,,1,sanctions_amendes
120,120 املاده تحدث جذاذيتان اداريتان تتعلق االولا برخص السياقه والثانيه باملركبات، تسميان تباعا الجذاذيه الوطنيه لرخصه السياقه و الجذاذيه الوطنيه للمركبه تسجل فيهما تلقائيا املعطيات . بعده133 و128 املنصوص عليها في املادتين 51 االمانه العامه للحكومه,,,leger,definition,documents,0,permis_conduite
121,121 املاده تهدف الجذاذيتان املحدثتان بهذا القانون الا تمكين االشخاص املعنيين باملعطيات التي تم تجميعها، من التوفر علا معلومات حول وضعيه رخصه السياقه او املركبه املقصوده ؛ االدارات واالشخاص العموميين االخرين، املاذون لهم بموجب القانون، من االطالع علا,,,leger,definition,documents,0,permis_conduite
122,122 املاده تختص السلطه الحكوميه املكلفه بالنقل او املوظفون املنتدبون من لدنها لهذا الغرض، واملنشوره ،قائمتهم في الجريده الرسميه، وحدهم باصدار االمر او القيام او العمل علا القيام، تحت مسؤوليتهم بتسجيل املعطيات املنصوص عليها في هذا القانون وتصحيحها وتح,,,,definition,,0,permis_conduite
123,123 املاده يجب علا السلطه املختصه، عندما تتلقا املعطيات الواجب تسجيلها، ان تخبر بذلك االشخاص املعنيين، مع بيان حقهم في االطالع والتصحيح املخول لهم بموجب هذا القانون وكيفيات ممارسه .هذا الحق .يتم االخبار بواسطه رساله مضمونه مع اشعار باالستالم,,,,obligation,,0,permis_conduite
124,124 املاده يمكن ان تعالج املعلومات واملعطيات التي تم تجميعها تطبيقا لهذا القانون، بطريقه اليه، وفقا .للقواعد التي تحددها االداره,,,,definition,,2,permissions_exceptions
125,125 املاده يلزم االشخاص املكلفون، باي صفه من الصفات، بمسك الجذاذيتين بكتمان السر املنهي، وفقا . من القانون الجنائي وتحت طائله العقوبات املقرره فيه446 الحكام الفصل 52 االمانه العامه للحكومه,,,,definition,,0,permis_conduite
126,126 املاده 5000 الا خمسه االف2000 يعاقب بالحبس من ثالثه اشهر الا ثالث سنوات وبغرامه من الفين درهم علا القيام، بسوء نيه، بتسجيل ادانه قضائيه او قرار اداري في الجذاذيه الوطنيه لرخصه .السياقه او في الجذاذيه الوطنيه للمركبه,2000.0,,leger,sanction,documents,1,sanctions_amendes
127,127 املاده 2000 بصرف النظر عن العقوبه االشد، يعاقب بالحبس من شهر الا سته اشهر وبغرامه من الفين درهم او باحدا هاتين العقوبتين فقط، علا كل انتحال السم او صفه قصد5000 الا خمسه االف .الحصول علا كشف للبيانات املسجله واملتعلقه باحد االغيار تطبق نفس العقوبه,2000.0,,leger,sanction,documents,1,sanctions_amendes
128,128 املاده اعاله ووفق الشروط122 تقوم السلطات املختصه او تعمل علا القيام، طبقا الحكام املاده والكيفيات التي تحددها االداره، بتسجيل املعطيات املتعلقه برخصه السياقه، في الجذاذيه الوطنيه لرخصه السياقه، وخاصه منها املعلومات املتعلقه برخصه السياقه، املطلوب,,,leger,definition,documents,0,permis_conduite
129,129 املاده يجب محو املعلومات املتعلقه باالدانات القضائيه الصادره في شان,,,leger,sanction,documents,0,permis_conduite
130,130 املاده يحق لصاحب رخصه السياقه االطالع علا الكشف الكامل للبيانات املتعلقه به وتسلم نسخه منه بطلب منه. وله ان يطلب تصحيح املعطيات املغلوطه او محو املعطيات وفق الشروط املنصوص عليها . في هذا القانون والنصوص الصادره لتطبيقه,,,leger,definition,documents,0,permis_conduite
131,131 املاده يسلم كشف البيانات الشخصيه املتعلقه برخصه السياقه، الا السلطات التاليه، بناء علا طلبها السلطات القضائيه ؛ 1 ضباط الشرطه القضائيه املكلفون بتنفيذ امر قضائي او العاملون في اطار بحث قضائي ؛ 2 السلطات االداريه املختصه، للبت في توقيف رخصه السياق,,,leger,definition,documents,0,permis_conduite
132,132 املاده ،تبلغ املعلومات املتعلقه بوجود رخصه السياقه وصنفها وصالحيتها وبهويه صاحبها، بناء علا طلبهم الا محامي او وكيل صاحب رخصه السياقه ؛ 1 السلطات االجنبيه املختصه، قصد اثبات صحه رخصه السياقه، طبقا لالتفاقات الدوليه 2 الجاري بها العمل ؛ ضباط او اع,,,leger,definition,"alcool, documents",0,permis_conduite
133,133 املاده اعاله ووفق الشروط والكيفيات122 تقوم السلطات املختصه او تعمل علا القيام، طبقا الحكام املاده التي تحددها االداره، بتسجيل املعطيات املتعلقه باملركبات في الجذاذيه الوطنيه للمركبه، خاصه منها ، املعلومات املتعلقه بهويه املالك وعنوانه ورقم بطاقته,,,leger,definition,,0,permis_conduite
134,134 املاده يحق لصاحب شهاده التسجيل او سند امللكيه االطالع علا الكشف الك,,,,definition,,0,permis_conduite
135,135 املاده اعاله، بناء علا طلبهم، الا133 تبلغ املعلومات واملعطيات,,,,definition,,0,permis_conduite
136,136 املاده تبلغ املعلومات املتعلقه بشهادات التسجيل او سند امللكيه والخص,,,leger,obligation,documents,0,permis_conduite
138,138 املاده تحدد علا النحو التالي انواع املخالفات الحكام هذا القانون وللنصوص الصادره لتطبيقه الجنح ؛ املخالفات من الدرجه االولا ؛ املخالفات من الدرجه الثانيه ؛ .املخالفات من الدرجه الثالثه,,,,definition,,0,permis_conduite
139,139 املاده من القانون الجنائي، تعتبر الغرامات املنصوص عليها في هذا القانون18 استثناء من احكام الفصل للمعاقبه علا املخالفات الحكامه والحكام النصوص الصادره لتطبيقه. ما عدا الغرامات املحدده في 177 الا175 وفي املواد من166 و165 و163 وفي املواد161 الا155 و,,,,sanction,,0,permis_conduite
140,140 املاده يكون كل سائق مسؤوال جنائيا عما يرتكبه من مخالفات الحكام هذا القانون والنصوص الصادره .لتطبيقه,,,,definition,,0,permis_conduite
141,141 املاده اذا ارتكبت مخالفه الحكام هذا القانون والنصوص الصادره لتطبيقه، بواسطه مركبه مسجله في اسم شخص ذاتي ولم يتم التعرف علا هويه السائق اثناء معاينه املخالفه، او تعذر التعرف عليه فيما بعد وكانت العقوبه املنصوص عليها هي الغرامه، اعتبرت هذه املخالفه,,,leger,sanction,,0,permis_conduite
142,142 املاده اذا ارتكبت مخالفه الحكام هذا القانون والنصوص الصادره لتطبيقه، بواسطه مركبه مسجله في اسم شخص معنوي، ولم يتم التعرف علا هويه السائق اثناء معاينه املخالفه، او تعذر التعرف عليه فيما بعد، يجب علا االشخاص الذاتيين الذين يمثلون الشخص املعنوي الكش,,,leger,obligation,,0,permis_conduite
143,143 املاده يكون مالك املركبه او الشاحن او الناقل للبضائع او لالشخاص عبر الطرق او الوكيل بالعموله او املرسل او املرسل اليه او كل مصدر اخر لالمر، الذي احدث او ساهم في احداث وضعيه مسببه لضرر، مسؤوال جنائيا، اذا ثبت انه خرق بشكل عمدي احد واجبات االحتياط,200.0,,,sanction,,0,permis_conduite
144,144 املاده يكون كل مالك مركبه او حيوانات مسؤوال عن الغرامات والتعويض عن الضرر واملصاريف التي يمكن ان يحكم بها علا تابعه، بموجب هذا القانون، من اجل مخالفه مرتكبه اثناء القيام باملهام التي .كلفه بها ،غير انه يمكن للمحكمه، دون االخالل باملسؤوليه الجنائي,,,leger,definition,,2,permissions_exceptions
145,145 املاده ،عندما يحرر اكثر من محضر لسائق بشان مخالفه تتعلق بعيوب ميكانيكيه في املركبه او في معداتها ماعدا العيوب املتعلقه باجهزه السالمه، فال يجوز معاقبته اال مره واحده من اجل ارتكاب نفس . ساعه الفاصل بين املعاينه االولا واملعاينه االخيره للمخالفه72,,,,definition,,0,permis_conduite
146,146 املاده من القانون الجنائي، عندما تتم معاينه عده مخالفات ضد نفس121 استثناء من احكام الفصل .الشخص، تضم العقوبات املاليه املقرره بالنسبه الا كل جنحه وكل مخالفه,,,,definition,,0,permis_conduite
147,147 املاده ال يمكن نقل ملكيه ايه مركبه، ما لم يقرر القضاء خالف ذلك، او تحصيل الضريبه الخصوصيه السنويه علا السيارات او الرسم علا محور املحرك اال بعد اثبات اداء الغرامات الصادر في شانها علا .املالك مقرر قابل للتنفيذ من اجل مخالفه الحكام هذا القانون ولل,,,leger,definition,documents,2,permissions_exceptions
148,148 املاده بعده، يعاقب بغرامه من الفين149 دون االخالل بالعقوبات االشد ومع مراعاه احكام املاده درهم، كل شخص4.000 الا اربعه االف2.000 . يسوق مركبه تتطلب سياقتها الحصول علا رخصه سياقه دون ان يكون حاصال علا تلك الرخصه 1 اشهر ؛3 يعاقب املخالف، عالوه علا ذ,2000.0,,leger,sanction,documents,1,sanctions_amendes
149,149 املاده اعاله، توقف املركبه في مكانها الا ان يقوم بسياقتها سائق148 في الحاالت املشار اليها في املاده حاصل علا رخصه سياقه من نفس صنف املركبه يقترحه املخالف او، عند االقتضاء، مالك املركبه او حائزها. واذا تعذر ذلك، جاز لالعوان محرري املحاضر اتخاذ كاف,,,leger,definition,"stationnement, documents",0,permis_conduite
150,150 املاده من القانون الجنائي ودون االخالل بالعقوبات361 في ماعدا الحاالت املنصوص عليها في الفصل الا5.000 اشهر وبغرامه من خمسه االف درهم6 االشد، يعاقب بالحبس من شهر واحد الا سته درهم او باحدا هاتين العقوبتين فقط، كل شخص حصل بعد اجتياز امتحان20.000 عشر,5000.0,,leger,sanction,documents,1,sanctions_amendes
151,151 املاده الا خمسه االف2.000 سنوات وبغرامه من الفين3 اشهر الا ثالث6 يعاقب بالحبس من سته درهم، كل شخص5.000 استعمل وسائل غير قانونيه للمشاركه في امتحان الحصول علا رخصه السياقه دون ان يكون 1 له الحق في ذلك ؛ ادلا بتصريحات كاذبه عن هويته او انتحل او حاو,2000.0,,leger,sanction,documents,1,sanctions_amendes
152,152 املاده درهم، كل شخص صدر في حقه8.000 درهم الا ثمانيه االف2.000 يعاقب بغرامه من الفي مقرر قضائي حائز لقوه الاشيء املقغضي به او قرار اداري بتوقيف رخصه السياقه او بسحبها او بالغائها لم يودع رخصه السياقه الخاصه به لدا االداره، داخل االجال املحدده له ؛,8000.0,,leger,sanction,documents,1,sanctions_amendes
152,152 املاده من13 الصادر يف1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 اضيفت مبوجب املاده الثالثه من القانون رقم 5882 ، ص2016 اغسطس11 1437 ذي القعده7 بتاريخ6490 ،ج.ر عدد2016 يوليو18 1437 شوال درهم، كل شخص لم يسلم رخصه4.000 درهم الا اربعه االف1.000,4000.0,,leger,sanction,documents,5,references_legales
153,153 املاده اعاله، قد صدر في حقه مقرر152 اذا كان املخالف وقت ارتكابه احدا املخالفات املنصوص عليها في املاده قضائي حائز لقوه الاشيء املقغضي به بتوقيف رخصه السياقه، فعلا املحكمه املختصه تحويل توقيف الرخصه الا الغاء، مع املنع من التقدم المتحان الحصول علا,,,leger,definition,documents,0,permis_conduite
154,154 املاده درهم الا1.200 سنوات وبغرامه من الف ومائتي3 اشهر الا ثالث6 يعاقب بالحبس من سته درهم كل شخص يسوق برخصه سياقه مزوره مركبه تتطلب سياقتها الحصول5.000 خمسه االف .علا رخصه سياقه ال يجوز للمخالف اجتياز امتحان الحصول علا رخصه سياقه اال بعد انصرام ا,5000.0,,leger,sanction,documents,1,sanctions_amendes
155,155 املاده من شوال13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 غريت مبوجب املاده االوال من القانون رقم 5872 ، ص2016 اغسطس11 1437 ذي القعده7 بتاريخ6490 ، ج.ر عدد2016 يوليو18 1437 درهم كل شخص استعمل رخصه5.000 الا خمسه االف2.000 يعاقب بغرامه,2000.0,,leger,sanction,"stationnement, documents",5,references_legales
156,156 املاده درهم عن كل مركبه، كل30.000 الا ثالثين الف15.000 يعاقب بغرامه من خمسه عشر الف صانع مركبات او وكيل او مستورد او مالك لها عرض او يعرض للبيع مركبه او عده مركبات غير مصادق عليها او غير مطابقه للصنف املصادق 1 عليه ؛ رفض اخضاع مركبته او مركباته ل,20000.0,,leger,sanction,,1,sanctions_amendes
157,157 املاده درهم، كل صانع مركبات او30.000 الا ثالثين الف5.000 يعاقب بغرامه من خمسه االف ،كل وكيل او مستورد او مالك لها رفض اخضاع مركبته، التي ادخل تغييرا علا خصائصها التقنيه .للمصادقه من جديد او اهمل ذلك اشهر الا سنه واحده وبضعف الغرامه3 في حاله العود,5000.0,,leger,sanction,stationnement,1,sanctions_amendes
158,158 املاده يعاقب علا اعاده استخدام كل مركبه خاضعه للتسجيل اصيبت باضرار خطيره دون تقديم تقرير خبره بشانها ودون املصادقه عليها بغرامه درهم بالنسبه للمركبات التي يقل وزنها30.000 الا ثالثين الف5.000 من خمسه االف 1 كيلوغرام ؛3.500 االجمالي املاذون به محمل,5000.0,,leger,sanction,,1,sanctions_amendes
159,159 املاده يعاقب علا االستمرار في استخدام مركبه، علا الطريق العموميه، خاضعه للتسجيل بمقتغضا احكام هذا القانون، غير قابله لالصالح تقنيا واملسحوبه شهاده تسجيلها، بغرامه درهم بالنسبه للمركبات التي يقل وزنها30.000 الا ثالثين الف5.000 من خمسه االف 1 كيلوغ,5000.0,,leger,sanction,,1,sanctions_amendes
160,160 املاده درهم، كل من استخدم مركبه خاضعه6.000 الا سته االف2.000 يعاقب ب,2000.0,,leger,sanction,,1,sanctions_amendes
161,161 املاده بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 نسخت وعوضت مبوجب املاده الثانيه من القانون رقم 5881 ، ص2016 اغسطس11 1437 ذي القعده7 بتاريخ6490 ، ج.ر عدد2016 يوليو18 1437 من شوال13 درهم، كل سائق مركبه، خاضعه12.000 الا اثني عشر الف2.00,2000.0,,leger,sanction,,5,references_legales
162,162 املاده الا خمسه االف2.000 سنوات وبغرامه من الفين3 اشهر الا ثالث6 يع,2000.0,,leger,sanction,,1,sanctions_amendes
162,162 املاده درهم، كل شخص غير معتمد من60.000 الا ستين الف30.000 يع,20000.0,,,sanction,,1,sanctions_amendes
163,163 املاده درهم عن عدم تقديم التصريح5.000 الا خمسه االف3.000 يعاقب بغرامه من ثالثه االف . اعاله62 املنصوص عليه في املاده,3000.0,,,sanction,,1,sanctions_amendes
164,164 املاده من13 الصادر يف1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 اضيفت مبوجب املاده الثالثه من القانون رقم 5883 ، ص2016 اغسطس11 1437 ذي القعده7 بتاريخ6490 ،ج.ر عدد2016 يوليو18 1437 شوال درهم، كل مشغل لسائق مركبه200.000 الا مائتي الف100.000 يع,100000.0,,leger,sanction,vitesse,5,references_legales
164,164 املاده الا اثني5.000 اشهر وبغرامه من خمسه االف6 يعاقب بالحبس من شهر واحد الا سته درهم او باحدا هاتين العقوبتين فقط، كل مسؤول عن استغالل مركبه لنقل12.000 عشر الف البضائع او مركبه للنقل الجماعي لالشخاص خاضعه الجباريه تجهيزها بجهاز لتحديد السرعه او,5000.0,,leger,sanction,vitesse,1,sanctions_amendes
165,165 املاده يمنع وضع او تكييف او استعمال او تركيب اله او جهاز او ماده معده اما لكشف وجود اداه مستعمله .ملعاينه املخالفات الحكام هذا القانون والنصوص الصادره لتطبيقه واما لالخالل بسير تلك االداه الا عشره االف5.000 يعاقب علا كل مخالفه الحكام الفقره الساب,5000.0,,,sanction,,0,permis_conduite
166,166 املاده ، اعاله1 166 من الفقره الثانيه من املاده6 الا2 يتعرض مرتكب,,,leger,sanction,documents,0,permis_conduite
166,166 املاده 10.000 الا عشره االف5.000 دون االخالل بالعقوبات االشد، يعاقب بغرامه من خمسه االف درهم، علا ما يلي القيام في الطريق العموميه او ملحقاتها باستخدام مركبه او اي اله او اريبه اخرا قد تلحق 1 اضرارا بالطريق املذكوره او بملحقاتها. ويحكم علا املخال,5000.0,,leger,sanction,,1,sanctions_amendes
166,166 املاده كل سائق ثبتت مسؤوليته عن حادثه سير وتسبب للغير، نتيجه هذه,200.0,,leger,sanction,"vitesse, stationnement, alcool, depassement, documents",0,permis_conduite
167,167 املاده كل سائق ثبتت مسؤوليته عن حادثه سير وتسبب للغير، نتيجه هذه ال,200.0,,leger,sanction,"vitesse, stationnement, alcool, depassement, documents",0,permis_conduite
168,168 املاده من شوال13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 غريت مبوجب املاده االوال من القانون رقم 5873 ، ص2016 اغسطس11 1437 ذي القعده7 بتاريخ6490 ، ج.ر عدد2016 يوليو18 1437 . اشهر3 لتوقيف رخصه السياقه ملده167 يتعرض مرتكبو املخالفات ا,,,leger,sanction,documents,5,references_legales
169,169 املاده من شوال13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 غريت مبوجب املاده االوال من القانون رقم 5873 ، ص2016 اغسطس11 1437 ذي القعده7 بتاريخ6490 ، ج.ر عدد2016 يوليو18 1437 الحادثه عن غير عمد، بعدم كل سائق ثبتت مسؤوليته عن حادث سير و,400.0,,leger,sanction,"vitesse, stationnement, alcool, depassement, documents",5,references_legales
170,170 املاده اعاله ملا يلي169 يتعرض مرتكبو املخالفات املنصوص عليها في املاده توقيف رخصه السياقه ملده ثالثه اشهر الا سنه ؛ 1 اعاله، الغاء رخصه السياقه مع املنع169 في الحاالت املنصوص عليها في الفقره الثانيه من املاده 2 من اجتياز امتحان الحصول علا رخصه جد,,,leger,sanction,documents,0,permis_conduite
171,171 املاده يخضع لزوما، بامر من وكيل امللك، لخبره طبيه كل شخص، ضحيه حادث,,,,definition,,0,permis_conduite
172,172 املاده كل سائق ثبتت مسؤوليته عن حادثه سير وتسبب، نتيجه هذه الحادثه،,500.0,,leger,sanction,"vitesse, stationnement, alcool, depassement, documents",0,permis_conduite
173,173 املاده اعاله ملا يلي172 يتعرض مرتكبو املخالفات املنصوص عليها في املاده توقيف رخصه السياقه ملده سنه الا ثالث سنوات ؛ 1 اعاله، الغاء رخصه السياقه مع املنع172 في الحاالت املنصوص عليها في الفقره الثانيه من املاده 2 من اجتياز امتحان الحصول علا رخصه جد,,,leger,sanction,documents,0,permis_conduite
174,174 املاده يجب علا االداره، في حاله عدم توصلها بنسخه من الحكم بتوقيف رخصه السياقه، ان ترجع الرخصه . اعاله173 و170 و168 الا صاحبها، عند انصرام املده القصوا املنصوص عليها في املواد الفرع الخامس الجنح املتعلقه بسلوك السائق,,,leger,obligation,documents,0,permis_conduite
175,175 املاده درهم وبتوقيف رخصه السياقه8.000 الا ثمانيه االف4.000 يعاقب بغرامه من اربعه االف ملده تتراوح ما بين شهر واحد وثالثه اشهر، كل سائق ارتكب احدا املخالفات التاليه كلم في الساعه ؛50 تجاوز السرعه القصوا املسموح بها بما يعادل او يفوق الرجوع الا الخ,4000.0,,leger,sanction,"vitesse, autoroute, depassement, documents",1,sanctions_amendes
176,176 املاده درهم وبتوقيف رخصه السياقه3.000 الا ثالثه االف1.200 يعاقب بغرامه من الف ومائتين ملده تتراوح ما بين شهر واحد وثالثه اشهر، كل سائق ارتكب احدا املخالفات التاليه عدم تشغيل جهاز قياس السرعه وزمن السياقه ؛ تجاوز املده القصوا للسياقه ؛ .عدم احترام,200.0,,leger,sanction,"vitesse, depassement, documents",1,sanctions_amendes
